Time (s),Absorbance
0.0,1.9996118588755103
20.689655172413794,1.977013198356313
41.37931034482759,1.949817235569438
62.06896551724138,1.916088042634782
82.75862068965517,1.8966005712899174
103.44827586206897,1.8636717607378874
124.13793103448276,1.8535811365026458
144.82758620689657,1.825566382110219
165.51724137931035,1.8055410930652953
186.20689655172413,1.7712738196569313
206.89655172413794,1.7469767482440373
227.58620689655174,1.7230419608753664
248.27586206896552,1.6980246278042308
268.9655172413793,1.6809008881989065
289.65517241379314,1.6506466004345601
310.3448275862069,1.6299086747617875
331.0344827586207,1.5937194666560948
351.7241379310345,1.5898023754378106
372.41379310344826,1.5529288034595898
393.1034482758621,1.526430365838399
413.7931034482759,1.4921067698742319
434.48275862068965,1.4688968856820959
455.1724137931035,1.446693719543828
475.86206896551727,1.418892818906649
496.55172413793105,1.6694190139546292
517.2413793103449,1.3786487879533305
537.9310344827586,1.352096050612365
558.6206896551724,1.3215522166745015
579.3103448275863,1.3005655460306054
600.0,1.2763102272512672
